1,2,3,4;4,5,6
20,21,22;45,46,47
7,8,9;8,9,10,11,12
59,60,61,62,63,64,65;90,91,92,93,94
73,74,75,76,77,78,79,80,81,82,83,84,85;94,95,96,97,98,99,100,101,102,103,104
77,78,79,80,81;65,66,67,68,69,70,71,72,73
82,83,84,85,86,87,88,89,90,91,92;90,91,92,93,94,95,96,97
77,78,79,80,81,82,83,84,85;76,77,78,79,80
20,25,36,45,89;25,36,77,88,98
9,10,11;11,12,13
78,79,80,81,82,83,84;61,62,63,64,65,66
72,73,74,75,76,77,78,79,80,81,82,83,84,85;88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
99,100,101,102,103;86,87,88,89,90,91,92,93,94,95
68,69,70,71,72,73,74;73,74,75,76,77,78,79,80,81,82,83,84,85
9,10,11;33,34,35
99,100,101,102,103,104;90,91,92,93,94,95,96,97,98,99,100,101,102
50,51,52,53,54,55,56,57;55,56,57,58,59,60,61,62,63,64,65,66,67
1,2,3,4;3,4,5,6
88,89,90,91,92,93,94,95,96,97,98,99,100,101;97,98,99,100,101,102,103,104
80,81,82,83,84,85,86,87,88;50,51,52,53,54,55
81,82,83,84,85,86,87,88,89,90;66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
53,54,55,56,57,58,59,60,61,62,63,64;77,78,79,80,81,82,83,84,85
89,90,91,92,93,94,95,96;73,74,75,76,77,78,79,80,81,82,83,84,85,86
